,huc10,Clusters
0,507020303,2
1,509010110,0
2,510010111,0
3,510010113,3
4,509020302,3
5,601020604,0
6,601020603,0
7,601020601,2
8,510020507,3
9,511000304,3
10,511000602,3
11,507020103,2
12,509020308,3
13,511000106,3
14,511000402,3
15,510020107,2
16,604000605,1
17,511000601,3
18,509020101,2
19,511000401,3
20,511000101,0
21,507020305,2
22,507020301,2
23,507020304,2
24,507020401,2
25,507020403,0
26,507020202,2
27,507020404,0
28,510010112,0
29,510010109,3
30,510010204,3
31,510010205,3
32,510020101,2
33,510020102,2
34,510020103,2
35,510020104,2
36,510020105,2
37,510020401,0
38,510020402,2
39,510020305,0
40,510020306,2
41,507020205,2
42,507020105,2
43,507020402,0
44,510020201,2
45,510020504,3
46,514020601,1
47,514020602,1
48,514010109,1
49,514010410,3
50,514010414,3
51,514020107,1
52,514020108,1
53,514020504,1
54,514010401,3
55,514020112,1
56,514020106,3
57,514020206,1
58,514010103,3
59,514020607,1
60,514010301,3
61,514010302,3
62,514010105,3
63,514010106,3
64,514010205,3
65,514010211,3
66,514010212,3
67,514010213,3
68,514020301,1
69,514010303,3
70,514010306,3
71,514020102,3
72,514020204,1
73,514020302,1
74,514020304,3
75,514020505,1
76,514020205,1
77,514020502,1
78,514010101,3
79,514020207,1
80,514020501,3
81,514020503,3
82,514020603,1
83,514020606,1
84,514010201,3
85,514010304,0
86,514010305,0
87,514020303,3
88,514020407,3
89,514020305,3
90,514020307,3
91,514020309,3
92,514010202,3
93,514010203,3
94,514010204,3
95,514010206,3
96,514010207,3
97,514010208,3
98,514010209,3
99,514010210,3
100,510010101,2
101,510010103,0
102,601020602,2
103,513010306,0
104,513010303,0
105,513010305,0
106,513010307,0
107,513010103,2
108,513010104,0
109,513010107,0
110,513010108,0
111,513010109,0
112,513010202,0
113,513010405,0
114,513010205,0
115,513010301,3
116,513010302,0
117,513010406,0
118,513010407,0
119,513020603,1
120,513020606,3
121,513010106,2
122,513020505,3
123,513020506,3
124,513020508,3
125,513010201,0
126,513010203,0
127,513010204,0
128,513010503,0
129,513010504,0
130,513010505,0
131,513020504,3
132,513020604,1
133,513020607,3
134,513020602,3
135,511000105,3
136,510020509,3
137,510020506,3
138,510020508,3
139,510020510,3
140,511000102,3
141,511000103,0
142,511000104,3
143,511000107,3
144,511000405,3
145,509010306,0
146,509020108,3
147,507020106,2
148,507020302,2
149,507020206,2
150,511000505,1
151,514010413,3
152,513010304,0
153,801010002,1
154,513020601,3
155,513020507,1
156,509020310,3
157,509010401,0
158,510020512,3
159,510020502,3
160,510020503,0
161,714010508,1
162,510020513,0
163,510020514,3
164,510010107,0
165,510010108,0
166,604000603,1
167,604000604,1
168,604000602,1
169,604000508,1
170,604000510,1
171,604000601,1
172,604000509,1
173,801020204,1
174,801020103,1
175,801020101,1
176,801020102,1
177,509020106,0
178,801010003,1
179,509010301,0
180,509020102,0
181,509020111,3
182,509020112,3
183,509010303,0
184,509010304,0
185,509010402,0
186,509010403,0
187,509010404,0
188,509010405,0
189,510010105,0
190,510010102,0
191,510010104,0
192,510010106,0
193,510010201,3
194,510010202,3
195,510010203,3
196,510020302,2
197,510020303,2
198,510020304,2
199,510020511,3
200,511000109,3
201,511000208,3
202,511000112,3
203,511000113,3
204,511000114,3
205,511000201,3
206,511000202,3
207,511000203,3
208,511000204,3
209,511000205,3
210,511000207,3
211,511000209,3
212,511000301,3
213,511000302,3
214,511000303,3
215,511000305,3
216,510020106,2
217,510020202,2
218,510020203,2
219,510020204,2
220,510020301,2
221,511000111,3
222,511000108,3
223,511000605,1
224,511000403,3
225,511000404,3
226,511000603,3
227,511000502,1
228,511000503,3
229,511000504,1
230,511000604,1
231,510020403,0
232,510020405,0
233,510020501,3
234,510020515,0
235,801020104,1
236,801020202,1
237,507020207,2
238,510010110,3
239,511000110,3
240,511000501,3
241,510020505,3
242,513010101,2
243,513010102,2
244,510020404,0
245,511000206,3
246,801010001,1
247,801020201,3
248,801020105,1
